S. No.,source,startupName,website,foundedDate,description,ICB_industry,ICB_sector,startupClassification,startupClassification2,businessModel,keyword1,keyword2,keyword3,city,state,startupStatus,groupClassification1,groupClassification2,groupClassification3,Group Classification 4,Stage at the time of incubation,"Total investment by founders (Rupees, Lakhs)",Number of Founders,founder1Name,founder2Name,founder3Name,incubator,incubatorDate,Start-up stage,incubatorResult,accelerator,accleratorDate,Start-up stage,accelaratorResult,round1Date,round1InvestorCount,round1LeadInvestorType,round1InvestmentAmount,round1Valuation,Round1 Employees (Number),"Round1 Revenues (Rupees, Lakhs)",round2Date,round2InvestorCount,round2LeadInvestorType,round2InvestmentAmount,round2Valuation,Round2 Shareholding,Round2 Employees (Number),"Round2 Revenues (Rupees, Lakhs)",round3Date,round3InvestorCount,round3LeadInvestorType,round3InvestmentAmount,round3Valuation,Round3 Shareholding,Round3 Employees (Number),"Round3 Revenues (Rupees, Lakhs)",Round4 date,Round4 Total investors,Round4 Lead Investor type,Round4 Investment amount (Rupees Crores),Round4 Valuation (Rupees Crores),Round4 Shareholding,Round4 Employees (Number),"Round4 Revenues (Rupees, Lakhs)"
411,VI,Niyo Solutions,,,A Fin-Tech startup focussed on alternative payment mechanisms,Financials,Financial services,Fin-Tech and Payments,,B2B2C,Online Payment,,,Bengaluru,,,Payments and Wallet,,,,,,,,,,Oracle Startup Cloud Accelerator,06/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,VI,Notemybook,http://notemybook.in/,,Notemybook enables students to register as a buyer or seller or both.,Consumer_goods,personal and household goods,Internet marketplace and eCommerce,,B2C,Buy and sell of products,,,Mumbai,,,Buy and Sale goods and products,,,,,,,,,,VESIT,10/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,VI,Notifie,http://www.notifie.net/,,Notifie is a two way messaging platform for business and customerNOTIFIE messages are significantly smarter than the traditional SMS messages. This can be used to receive information messages like updates from any business that is currently using SMS to send messages.Notifie is a messaging platform which looks to simplify notifications for offers from restaurants.,Technology,Software & Computer Services,Software and Internet Services,,B2C,Messaging between consumers and business,,,Chennai,,,Communication services,,,,,,,,,,Paypal Start Tank,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,VI,Novopay Solutions,http://novopay.in/,,Khosla Labs has incubated a technology startup to drive financial inclusion Novopay Solutions in Bangalore under the guidance of Srikanth Nadamuni. Novopay is a mobile payment company that uses the Aadhaar biometric scanner to allow people to conduct banking transactions from neighborhood shops.,Financials,Financial services,Fin-Tech and Payments,,B2C,Online Payment,,,Bengaluru,,,Payments and Wallet,,,,,,,,,,Khosla Labs,11/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,VI,Numberz,http://numberz.in,,Numberz helps small businesses with cash flow management and assists them in getting advances on their future payments with ease.,Financials,Financial services,Fin-Tech and Payments,,B2B,Finance advisor on payment ad ease business,,,,,, Financial Software Solutions and Information Systems,,,,,,,,,,Moonshot Accelerator,10/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,VI,Octo.ai,https://octo.ai/,,Assisted AI search engine,Technology,Software & Computer Services,Software and Internet Services,,B2C,AI Chatbot,,,,,,Big Data Analytics and Machine learning,,,,,,,,,,Investopad,11/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,VI,Offer Grid Network,http://www.offergrid.com,,"Offer Grid is experiencing fast growth, and is serving clients right from the industry verticals of Ecommerce, BFSI and Enterprise B2B.",Consumer_services,Media,"Media, Advertising and Gaming",,B2B,Online Branding and marketing,,,Bengaluru,,,Advertising,,,,,,,,,,GINSERV,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,VI,OhLook,http://ohlook.in/,,"A subscription-based, daily-wear fashion rental service for men offering a different shirt every day of the month, all at the price of a single shirt. The startup avails unlimited wardrobe which will help wear 240 different premium shirts each year, at a price equal to buying 12 shirts.",Consumer_goods,personal and household goods,Internet marketplace and eCommerce,,B2C,Online rental of clothes,,,Hyderabad,,,Online Rental,,,,,,,,,,Spark10,07/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,VI,OnlineTyari.com,https://onlinetyari.com/,,"OnlineTyari, a test preparation platform, has raised INR 5 crores from Tandem Capital, 500 Startups, Vikram Chachra of Eight Capital, Aloke Bajpai of IxIgo and Mohandas Pai, among others. The funds would be used for expansion and further strengthening its technology. The app allows people to prepare for job-oriented tests, including civil services, banking services, UPSC and GATE.",Technology,Software & Computer Services,Edu-Tech,,B2C,Prepare for public exam,,,Gurgoan,,,Online courses and resources,,,,,,,,,,Tandem Capital,09/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,VI,Opinio,http://www.opinioapp.com,,"Opinio's hyperlocal logistics service is delivering 1000 orders a day on average for about 100 restaurants and grocers. Its technological platform is run on multi-drop system that also stores customers' exact geo-coordinates, allowing deliveries to be made in an average of 20 minutes.",Consumer_services,Retail,Hyperlocal and Logistics,,B2C,Online grocery,,,,,,Online Grocery,,,,,,,,,,Tracxn Labs,04/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,VI,Orane Infosystems,http://www.oranelabs.com,,Orane Labs is an IIT alumnus technological venture backed by young and enthusiastic team in the field of industrial automation and ubiquitous computing.,Industrials,Industrial goods and services,Industrial and Business Products and Services,,B2B,Industrial Automation,,,Kanpur,,,Industrial Automation,,,,,,,,,,IIT-KANPUR  SIIC,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,VI,Orbitnote,http://www.orbitnote.com,,"Orbitnote is a learning platform for teachers, students and researchers to connect, collaborate and learn over courses, projects and communities.",Technology,Software & Computer Services,Edu-Tech,,B2C,Teachers and students connect,,,Bhubaneswar,,,Peer teaching and teaching innovations,,,,,,,,,,IIT-BHU,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,VI,Organic Thali,http://www.organicthali.in/,,Organic Thali provides food produced from organic foods to corporate houses.,Consumer_services,Retail,Hyperlocal and Logistics,,B2B,Food delivery for the corporate,,,Hyderabad,,,Food Services,,,,,,,,,,IIM-C,09/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,VI,Origa,http://origaleasing.com/,,"Origa Leasing, an asset financing company has raised INR 7 crore from ah! Ventures, 500 Startups and other investors. Both ah! Ventures and 500 Startups invested in ORIGA through the CLUB ah! Platform. Origa Leasing provides alternative financing through its asset leasing solutions to high growth companies across segments such as healthcare, sanitation, waste management, alternative energy, manufacturing and service oriented businesses.",Financials,Financial services,Fin-Tech and Payments,,B2B,Asset financing company,,,Mumbai,,, Asset Management ,,,,,,,,,,500 Startups,10/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,VI,Ornativa,https://www.ornativa.com/,,Ornativa is a fashion jewellery brand that creates designs inspired by global fashion trends.,Consumer_goods,personal and household goods,Consumer Products and Services,,B2C,Jewellery sale,,,Hyderabad,,,Clothing & Accessories,,,,,,,,,,Spark10,07/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,VI,Oro Wealth,https://www.orowealth.com/,,"Gurgaon-based startup accelerator Global Super Angels Forum (GSF) has made fresh investments in five startups which constitute its fifth batch for its accelerator programme: bot-assistant player YellowAnt, artificial intelligence (AI)-driven chatbot solution HeyMojo, deep-learning tech startup Silversparrow, app-based health program Breathe Well-being, and tech-enabled investment platform Oro Wealth. GSF has invested USD 65,000-100,000 in each of these startups which will be heading to San Francisco and Tokyo in March to network with the tech ecosystems there.",Financials,Financial services,Fin-Tech and Payments,,B2B2C,Mutual fund investment,,,Mumbai,,, Asset Management ,,,,,,,,,,Global Super Angels Forum (GSF),02/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,VI,Owlish Oracle,http://www.owlishoracle.com/,,Owlish Oracle: a medium that provides education to children by experienced elderly teachers. It uses a social media-based platform.,Technology,Software & Computer Services,Edu-Tech,,B2C,Social media based education platform,,,Kolkata,,,Educational products and Services,,,,,,,,,,IIM-C,11/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,VI,P V Urja,http://www.pvurja.co.in,,The World's Most Advanced Multi-Gigawatt PV Manufacturer.,Technology,Technology Hardware & Equipment,Clean Technology,,B2B2C,Solar Energy,,,Kanpur,,,Solar energy,,,,,,,,,,IIT-KANPUR  SIIC,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,VI,Padmaseetha Technologies,,,"Target is developing a wearable mobile Continuous Ambulatory Peritoneal Dialysis device (mCAPD), allowing renal patients to carry out CAPD dialysis anytime, anywhere without any intervention. This simple and affordable device allows renal patients to have a near normal life, in spite of the crippling disease, catering to the poor and needy.",Healthcare,Healthcare,Health-Tech,,B2C,Devices and Innovation for the health,,,Chennai,,,Pharmaceuticals and drug development and manufacturing,,,,,,,,,,IIT-M,11/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,VI,Parablu,http://www.parablu.com/,,ParaBlu Systems is a cloud storage startup. The three-month residency program will help ParaBlu shape its product and go-to-market strategies.,Technology,Software & Computer Services,Software and Internet Services,,B2B,Cloud computing,,,Bengaluru,,,Cloud Infrastructure,,,,,,,,,,Citrix Startup Accelerator,12/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,VI,ParallelDots,http://www.paralleldots.com/,,"A tool that allows any content archive to be presented in a story. For publishers and bloggers, it automatically creates timeline of any event using their archives.",Technology,Software & Computer Services,Software and Internet Services,,B2B2C,Content developer,,,Noida,,,DevOps,,,,,,,,,,TLabs,03/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,VI,Parcelled,http://parcelled.in/,,"On-demand shipping startup Parcelled has raised strategic funding from Delhivery and Tracxn Labs. Parcelled’s moblile app allows users to schedule a pick up and within 30 minutes the item is picked up, packed and shipped through one of the company's logistics partners.   In Oct-15, Delhivery and Tracx Labs made a $5 M Series A investment. Parcelled also raised seed capital from Delhivery earlier this year.",Consumer_services,Travel and Leisure,Hyperlocal and Logistics,,B2B2C,Shipping start-up,,,Bengaluru,,,Delivery services and logistics,,,,,,,,,,Tracxn Labs,07/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,VI,Parque,http://www.parque.co.in,,ParQue is a mobile app through which one can request a background verified valet on demand.,Technology,Software & Computer Services,Software and Internet Services,,B2C,Parking valet app,,,Delhi,,,Software services for consumers,,,,,,,,,,Startup Tunnel,02/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,VI,Parvata Foods,http://www.f6s.com/parvatafoodspvtltd#/discuss,,"The Centre for Innovation, Incubation and Entrepreneurship (CIIE), a start-up incubation centre at the Indian Institute of Management (Ahmedabad), in partnership with Village Capital, has selected Parvata Foods for investments worth $50,000. The investments will aid in setting up and running an organic spice processing plant in Sikkim.",Consumer_goods,Food and beverage,Consumer Products and Services,,B2C,Food products,,,Dulliya Jalardhar ,,,Food Products,,,,,,,,,,Last Mile,09/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,VI,Pathshodh Healthcare,http://pathshodh.com,,"PathShodh Healthcare is leveraging bio-sensing technology for point-of-care devices aimed at providing ease-of-diagnosis of chronic diseases. PathShodh is a handheld device with the capability to measure multiple bio-markers specifically targeting Diabetes and its complications, Kidney disease, Anemia and Liver related ailments.",Healthcare,Healthcare,Health-Tech,,B2C,Diagnosis diseases,,,Bengaluru,,,Diagnostics,,,,,,,,,,IISc-SID,10/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,VI,Paysack,http://www.paysack.com/,,"Paysack is a mobile wallet for enterprises. Employers are provided with a single digital business account into which they can deposit payments for benefits & expenses. They can pre-categorise benefits into food, medical, fuel, etc. Employees are provided with the Paysack mobile app and a prepaid VISA card.",Financials,Financial services,Fin-Tech and Payments,,B2C,Payment methods,,,Hyderabad,,,Payments and Wallet,,,,,,,,,,Spark10,07/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,VI,Payswell,,,,Financials,Financial services,Fin-Tech and Payments,,B2C,Payment methods,,,Mumbai,,,Payments and Wallet,,,,,,,,,,Venture Foundry,05/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,VI,Peersome,http://www.peersome.com/,,Peersome is a self-drive car rental online marketplace,Consumer_services,Travel and Leisure,Hyperlocal and Logistics,,B2B,Online car rental,,,Bengaluru,,,"Taxi Services, Automobile pooling & Travel",,,,,,,,,,Axilor Ventures,10/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,VI,Perapy,http://www.perapy.com/,,"Perapy aspires to build a single platform where individuals with similar problems can meet, share their stories, discover peers and help each other in fighting their problems.",Technology,Software & Computer Services,Social Platforms,,B2C,Similar problem guys meet up and share problems,,,Bengaluru,,,Connect People for Social Activities,,,,,,,,,,Axilor Ventures,10/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,VI,Persept Solar,http://www.perseptsolar.com/,,Persept Solar as an Independent Power Producer offers captive roof-top solar PV power,Technology,Technology Hardware & Equipment,Clean Technology,,B2B2C,Solar Energy,,,Bengaluru,,,Solar energy,,,,,,,,,,IIM-B NSRCEL,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,VI,PetaVista Healthcare,http://sathyamallissery.wix.com/petavista,,"PetaVista Healthcare is developing insole based shoes for early prediction of foot ulceration in diabetic patients by real-time analysis of foot pressure. It has also has other products and services like Hospital Infection Control System, RFID based Smart Band for neonatal infants, etc.",Healthcare,Healthcare,Health-Tech,,B2C,Healthcare devices and diagnosis,,,Bengaluru,,,Diagnostics,,,,,,,,,,MUTBI Manipal,07/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,VI,PickMyLaundry,http://www.pickmylaundry.in/,,"PML Solutions Pvt. Ltd, which owns and operates on-demand service provider PickMyLaundry, has raised $100,000 from GHV Accelerator. The funds will be used for technology enhancement and marketing expenditures. The company is also in talks with high networth individuals and seed investors to raise $1 million in a pre-Series A round of funding. The deal was facilitated by the Applyifi online deal platform.",Consumer_services,Retail,Hyperlocal and Logistics,,B2C,Laundry services,,,Delhi,,,Laundry,,,,,,,,,,Green House Ventures,08/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,VI,Pico Energy,,,"Piconergy is a social enterprise which envisions the world free from energy poverty. Our mission is to facilitate access to clean, affordable, and reliable energy solutions for the financially poor and underserved households",Technology,Technology Hardware & Equipment,Clean Technology,,B2C,Provide alternate form of energy,,,Mumbai,,,Alternate energy sources,,,,,,,,,,Zone Startups India,09/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,VI,Piki,,,"Piki focuses on making people take surveys for businesses, within four hours of posting.",Industrials,Industrial goods and services,Industrial and Business Products and Services,,B2B,Market Research ,,,Bengaluru,,,Survey Services,,,,,,,,,,NUMA Accelerator,05/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,VI,Pinaly Websoft,http://www.pinalywebsoft.com,,"Pinaly websoft Pvt. Ltd. is a software company which provides complete and customized software solutions, internet technology solutions and IT consulting services.",Technology,Software & Computer Services,Software and Internet Services,,B2B,IT,,,Bhubaneswar,,,IT Operations,,,,,,,,,,KIIT-TBI,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,VI,PindropMusic,http://www.pindropmusic.co/,,"Gurgaon-based startup accelerator, Green House Ventures (GHV), has on-boarded Delhi-based PindropMusic, a music discovery app. The app claims to have over 10,000 downloads and 60% retention rate.",Consumer_services,Media,"Media, Advertising and Gaming",,B2C,Music search and download,,,Delhi,,,Music Tech,,,,,,,,,,Green House Ventures,02/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,VI,Pingbits,http://www.pingbits.com/,,"Marketed as a smart chat messenger, Pingbits has a built-in assistant that goes through messages and suggests appropriate actions to the users, mostly persons in the age group of 15-30.",Technology,Software & Computer Services,Software and Internet Services,,B2C,Public messenger,,,Ahmedabad,,,Communication services,,,,,,,,,,Amrita - TBI,04/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
